,0,1,2,3,4,5,6,7,8,9
28,0.23789513,0.13098127,0.2527997,0.20042323,0.20041083,0.18430573,0.25613657,0.02867651,0.22450471,0.4675877
29,0.05503642,0.07934479,0.11115703,0.0508734,0.25166744,0.16721249,0.07577315,0.13658647,0.18409649,0.5505662
30,0.023470026,0.09075336,0.03724415,0.14187056,0.0038123354,0.2606784,0.14337759,0.011531949,0.23642978,0.2762264
31,0.23604624,0.21967113,0.20110855,0.24983364,0.18781283,0.43152028,0.21126312,0.17293179,0.32990792,0.47160444
0,0.0954813,0.14701444,0.02199851,0.005056277,0.07286613,0.099631906,0.01096037,0.10352039,0.20448592,0.42395356
1,0.1270675,0.1387008,0.07792608,0.07848702,0.16517282,0.1668197,0.04039198,0.1787601,0.17066127,0.3696302
2,0.10831394,0.048669428,0.025368638,0.21612224,0.19322196,0.08751425,0.08572674,0.10680595,0.14218965,0.27030197
3,0.23173262,0.17444578,0.2606299,0.32938796,0.35095465,0.31049517,0.21826646,0.16105053,0.3553659,0.5832482
4,0.044988394,0.0030986816,0.0056680813,0.059123166,0.04508031,0.050363556,0.040365577,0.18961261,0.18461001,0.33103317
5,0.0878458,0.12155834,0.19583546,0.24732547,0.20209263,0.12921831,8.714199e-05,0.020681202,0.09323567,0.5372316
6,0.007902309,0.0816104,0.016005367,0.040397383,0.011048272,0.022169352,0.03467433,0.09800114,0.0951353,0.32392272
7,0.12523562,0.09199842,0.15408927,0.12151909,0.16087444,0.30197725,0.04122728,0.01953347,0.21202779,0.41583887
8,0.07764719,0.09494926,0.05422131,0.025663592,0.020372435,0.10489072,0.13991483,0.10020825,0.23366907,0.29901156
9,0.2511329,0.10258199,0.16256121,0.15938929,0.2475734,0.2747131,0.27917397,0.07152194,0.1685583,0.48025095
10,0.23848821,0.25991106,0.23859264,0.4509961,0.37234628,0.31121966,0.22911873,0.19909269,0.18649703,0.6341066
11,0.2474424,0.22310653,0.18441111,0.3747757,0.33189756,0.3598854,0.26970252,0.14922497,0.0946908,0.42128223
12,0.09907683,0.06373821,0.014331862,0.030905358,0.008800484,0.05952312,0.093173414,0.033700854,0.23024422,0.4321397
13,0.02517116,0.062442362,0.039841317,0.07720718,0.022291265,0.046726003,0.007321611,0.18684168,0.16167967,0.20723529
14,0.14364082,0.06989471,0.15750587,0.03616537,0.20551132,0.24074507,0.08732751,0.13752608,0.15889311,0.5260139
15,0.14087641,0.1384435,0.16038847,0.27768987,0.25018352,0.35233787,0.2445101,0.0418842,0.20846245,0.42164338
16,0.05422295,0.010687642,0.0004931167,0.049169965,0.122558706,0.030451491,0.13201931,0.15162727,0.14819697,0.3410178
17,0.14193957,0.08139235,0.16800421,0.17164117,0.22374901,0.2109145,0.18453445,0.012575477,0.09742504,0.43643802
18,0.053527772,0.03468353,0.10033525,0.085049495,0.05181256,0.040183365,0.04516235,0.06541982,0.13112867,0.4192292
19,0.07127093,0.124229774,0.0369867,0.08950229,0.24798223,0.34440532,0.0088728815,0.04733333,0.17908388,0.42852342
20,0.16598836,0.22432855,0.22556615,0.37751782,0.29856128,0.2398912,0.058482528,0.17475194,0.11646551,0.44048756
21,0.088375024,0.15678504,0.10476508,0.051218033,0.043084398,0.12993297,0.067902386,0.08626267,0.07652858,0.520146
22,0.14606205,0.13593403,0.16278514,0.28113988,0.21901362,0.2896571,0.22446652,0.010409549,0.19565734,0.42609617
23,0.08252948,0.13891664,0.050499573,0.04056506,0.031500652,0.024068922,0.038535684,0.08170253,0.26542452,0.50967634
24,0.15525427,0.07892505,0.16628507,0.29261225,0.2190352,0.2827585,0.3107863,0.06431198,0.08894104,0.4691463
25,0.063277006,0.047200873,0.018949673,0.024760023,0.052295044,0.10386635,0.04174304,0.06100017,0.053350776,0.26018643
26,0.09628117,0.06689895,0.10150762,0.06283517,0.10420355,0.10991883,0.03486103,0.027493924,0.22109547,0.442636
27,0.14528586,0.12141213,0.1675944,0.1216982,0.14870587,0.20142636,0.10547115,0.004737735,0.1314086,0.46789742
28,0.03916,0.07770325,0.031374313,0.08886975,0.120842166,0.20318195,0.1158797,0.058469594,0.17508614,0.30587023
29,0.041709214,0.22886142,0.08031984,0.13151054,0.075450346,0.1022329,0.04821843,0.025881767,0.3475408,0.53837276
30,0.058833577,0.056316324,0.0013686493,0.12666233,0.0976355,0.013853893,0.047163963,0.1806698,0.0659962,0.25797528
31,0.14241001,0.12352169,0.14295623,0.20559895,0.28944308,0.18902147,0.120183825,0.061209917,0.17260578,0.50311625
0,0.15268706,0.04861615,0.15814671,0.18424931,0.1324228,0.2324355,0.11244762,0.024909481,0.3105962,0.48091975
1,0.18012184,0.12957,0.021864727,0.10024978,0.12525873,0.2618911,0.13675727,0.05985783,0.17522416,0.39785847
2,0.02640237,0.12137936,0.017051518,0.08106812,0.10146671,0.060743663,0.0303718,0.02844876,0.28837818,0.32695198
3,0.11385211,0.12539627,0.039921083,0.060599983,0.045196317,0.23527548,0.11508146,0.08521131,0.20815432,0.42836106
4,0.04074394,0.10357052,0.053861625,0.06261176,0.0694633,0.03205322,0.0013848618,0.006369397,0.237582,0.3896781
5,0.11062366,0.07410641,0.16351786,0.21411252,0.19897512,0.11316866,0.020485014,0.05706878,0.18153757,0.33296815
6,0.1554341,0.16954434,0.024995409,0.0023664534,0.07347332,0.057574123,0.003109336,0.0531545,0.17495811,0.5052148
7,0.18093044,0.12599677,0.05831322,0.02570352,0.10753693,0.23118064,0.15043032,0.017385006,0.21903238,0.3085549
